waybill_tracking_id,dispatch_timestamp,estimated_delivery_timestamp,actual_delivery_timestamp,state,district,delivery_hub_city,destination_pincode,logistics_partner,cargo_category,package_weight_kg,declared_value_inr,delivery_mode,delivery_status,payment_mode,otp_verification_status,delay_reason_if_any,last_mile_distance_km,customer_rating_score
DEL-NER-2026-000497,2026-08-25 04:30:00,2026-08-26 14:30:00,Pending,Tripura,West Tripura,Agartala,799455,India Post (Speed Post),Apparel & Fashion,2.27,961.43,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,27.5,N/A
DEL-NER-2026-000093,2026-08-25 04:30:00,2026-08-25 12:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791937,India Post (Speed Post),E-Commerce Consumer Electronics,8.43,2654.22,Foot Courier (Hill Stairs / Remote Village),Delayed - Landslide / Road Blockade,Cash on Delivery (COD),N/A,Landslide / Highway Blockade,14.7,N/A
DEL-NER-2026-000440,2026-08-25 03:30:00,2026-08-25 20:30:00,Pending,Assam,Jorhat,Jorhat,781973,India Post (Speed Post),Essential Medicines & Medical Supplies,3.38,2304.07,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,25.4,N/A
DEL-NER-2026-000108,2026-08-25 03:30:00,2026-08-25 14:30:00,Pending,Assam,Sonitpur,Tezpur,781344,Amazon Logistics (NER),E-Commerce Consumer Electronics,4.46,64904.5,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,27.3,N/A
DEL-NER-2026-000308,2026-08-25 03:30:00,2026-08-26 11:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793404,Shadowfax,Government / Official Documents,1.83,3499.68,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,16.7,N/A
DEL-NER-2026-000101,2026-08-25 03:30:00,2026-08-25 12:30:00,Pending,Tripura,Gomati,Udaipur,799765,Blue Dart / DHL,Handicrafts & Organic NE Produce (Outbound),15.08,20141.98,Light Commercial Pickup Truck (Bolero / Ace),Delayed - Landslide / Road Blockade,Cash on Delivery (COD),N/A,Landslide / Highway Blockade,10.5,N/A
DEL-NER-2026-000116,2026-08-25 03:30:00,2026-08-25 14:30:00,Pending,Nagaland,Kohima,Kohima,797971,Amazon Logistics (NER),Auto Spare Parts & Industrial Tools,10.99,13519.52,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,4.2,N/A
DEL-NER-2026-000265,2026-08-25 03:30:00,2026-08-26 08:30:00,Pending,Assam,Cachar,Silchar,781956,Delhivery,Government / Official Documents,0.46,2882.08,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,19.0,N/A
DEL-NER-2026-000475,2026-08-25 03:30:00,2026-08-26 03:30:00,Pending,Mizoram,Aizawl,Aizawl,796210,Blue Dart / DHL,Government / Official Documents,1.37,897.25,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,10.7,N/A
DEL-NER-2026-000408,2026-08-25 03:30:00,2026-08-25 22:30:00,Pending,Meghalaya,West Garo Hills,Tura,793710,Blue Dart / DHL,FMCG & Groceries,9.38,18423.56,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,17.2,N/A
DEL-NER-2026-000496,2026-08-25 03:30:00,2026-08-26 00:30:00,Pending,Assam,Sonitpur,Tezpur,781672,India Post (Speed Post),E-Commerce Consumer Electronics,6.6,42431.63,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,22.0,N/A
DEL-NER-2026-000228,2026-08-25 02:30:00,2026-08-25 11:30:00,Pending,Sikkim,South Sikkim,Namchi,737107,Flipkart Ekart,Essential Medicines & Medical Supplies,0.76,8812.22,Drone Delivery (Medicines/High Altitude),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,26.3,N/A
DEL-NER-2026-000382,2026-08-25 02:30:00,2026-08-25 16:30:00,Pending,Assam,Jorhat,Jorhat,781904,Amazon Logistics (NER),FMCG & Groceries,1.27,13483.18,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,3.9,N/A
DEL-NER-2026-000192,2026-08-25 02:30:00,2026-08-26 02:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791981,India Post (Speed Post),E-Commerce Consumer Electronics,5.79,28740.34,Light Commercial Pickup Truck (Bolero / Ace),Delayed - Landslide / Road Blockade,Cash on Delivery (COD),N/A,Landslide / Highway Blockade,13.7,N/A
DEL-NER-2026-000457,2026-08-25 02:30:00,2026-08-26 13:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791399,ExpressBees,Essential Medicines & Medical Supplies,0.75,12933.01,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,20.8,N/A
DEL-NER-2026-000423,2026-08-25 02:30:00,2026-08-26 13:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793984,Flipkart Ekart,Handicrafts & Organic NE Produce (Outbound),15.9,16335.01,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,9.4,N/A
DEL-NER-2026-000236,2026-08-25 02:30:00,2026-08-26 09:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791591,Amazon Logistics (NER),Auto Spare Parts & Industrial Tools,6.15,3132.93,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,13.1,N/A
DEL-NER-2026-000282,2026-08-25 02:30:00,2026-08-26 10:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793772,Delhivery,Handicrafts & Organic NE Produce (Outbound),12.5,10105.3,Two-Wheeler / Bike Express,Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,31.4,N/A
DEL-NER-2026-000020,2026-08-25 02:30:00,2026-08-25 11:30:00,Pending,Nagaland,Kohima,Kohima,797193,India Post (Speed Post),Handicrafts & Organic NE Produce (Outbound),12.59,1922.31,Two-Wheeler / Bike Express,Delayed - Weather / Heavy Rainfall,Prepaid (Digital/UPI),N/A,Heavy Rain / Inundation,9.1,N/A
DEL-NER-2026-000370,2026-08-25 01:30:00,2026-08-26 06:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793815,Delhivery,Essential Medicines & Medical Supplies,0.54,7412.6,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,21.2,N/A
DEL-NER-2026-000031,2026-08-25 01:30:00,2026-08-26 08:30:00,Pending,Mizoram,Lunglei,Lunglei,796476,ExpressBees,E-Commerce Consumer Electronics,6.58,4741.45,Two-Wheeler / Bike Express,Delivery Attempted - Recipient Unavailable,Prepaid (Digital/UPI),N/A,None,4.0,N/A
DEL-NER-2026-000434,2026-08-25 01:30:00,2026-08-26 01:30:00,Pending,Sikkim,South Sikkim,Namchi,737284,Blue Dart / DHL,Apparel & Fashion,1.11,1055.7,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,20.8,N/A
DEL-NER-2026-000085,2026-08-25 01:30:00,2026-08-25 10:30:00,2026-08-25 10:30:00,Assam,Sonitpur,Tezpur,781274,Amazon Logistics (NER),Handicrafts & Organic NE Produce (Outbound),16.45,13653.74,Foot Courier (Hill Stairs / Remote Village),Delivered Successfully,Pay on Delivery (UPI QR),Verified,None,15.4,3.9
DEL-NER-2026-000332,2026-08-25 01:30:00,2026-08-25 10:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791928,DTDC Express,Apparel & Fashion,1.14,1816.23,Electric Cargo 3-Wheeler,Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,25.5,N/A
DEL-NER-2026-000180,2026-08-25 01:30:00,2026-08-25 11:30:00,Pending,Manipur,Imphal West,Imphal,795531,India Post (Speed Post),Apparel & Fashion,0.5,3592.84,Two-Wheeler / Bike Express,Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,10.8,N/A
DEL-NER-2026-000466,2026-08-25 01:30:00,2026-08-25 23:30:00,Pending,Assam,Jorhat,Jorhat,781270,Delhivery,Auto Spare Parts & Industrial Tools,7.0,11606.21,Light Commercial Pickup Truck (Bolero / Ace),Held at Hub - Inner Line Permit / Customs Check,Prepaid (Digital/UPI),N/A,Inner Line Permit Verification,13.3,N/A
DEL-NER-2026-000337,2026-08-25 00:30:00,2026-08-25 18:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791419,Blue Dart / DHL,E-Commerce Consumer Electronics,5.85,20388.83,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,26.6,N/A
DEL-NER-2026-000452,2026-08-25 00:30:00,2026-08-25 21:30:00,Pending,Tripura,West Tripura,Agartala,799896,ExpressBees,Auto Spare Parts & Industrial Tools,7.54,2576.8,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,6.6,N/A
DEL-NER-2026-000052,2026-08-25 00:30:00,2026-08-26 02:30:00,Pending,Meghalaya,West Garo Hills,Tura,793306,DTDC Express,Apparel & Fashion,1.09,4339.31,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,20.7,N/A
DEL-NER-2026-000091,2026-08-25 00:30:00,2026-08-25 12:30:00,Pending,Nagaland,Kohima,Kohima,797231,India Post (Speed Post),Handicrafts & Organic NE Produce (Outbound),21.81,8733.7,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,30.8,N/A
DEL-NER-2026-000198,2026-08-25 00:30:00,2026-08-26 08:30:00,Pending,Assam,Jorhat,Jorhat,781793,ExpressBees,FMCG & Groceries,7.62,3733.07,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,14.6,N/A
DEL-NER-2026-000329,2026-08-25 00:30:00,2026-08-25 19:30:00,Pending,Tripura,Gomati,Udaipur,799850,India Post (Speed Post),Auto Spare Parts & Industrial Tools,9.65,19700.64,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,7.0,N/A
DEL-NER-2026-000483,2026-08-25 00:30:00,2026-08-25 04:30:00,2026-08-25 04:30:00,Assam,Cachar,Silchar,781110,Flipkart Ekart,Handicrafts & Organic NE Produce (Outbound),8.68,13884.32,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Cash on Delivery (COD),Verified,None,18.5,4.6
DEL-NER-2026-000376,2026-08-25 00:30:00,2026-08-25 21:30:00,Pending,Nagaland,Kohima,Kohima,797933,ExpressBees,Essential Medicines & Medical Supplies,0.86,3435.95,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,11.0,N/A
DEL-NER-2026-000490,2026-08-25 00:30:00,2026-08-26 01:30:00,Pending,Sikkim,East Sikkim,Gangtok,737420,DTDC Express,E-Commerce Consumer Electronics,6.99,59985.62,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,28.6,N/A
DEL-NER-2026-000493,2026-08-24 23:30:00,2026-08-25 09:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791146,Shadowfax,E-Commerce Consumer Electronics,8.2,39462.89,Two-Wheeler / Bike Express,Delivery Attempted - Recipient Unavailable,Prepaid (Digital/UPI),N/A,None,9.0,N/A
DEL-NER-2026-000361,2026-08-24 23:30:00,2026-08-25 02:30:00,2026-08-25 02:30:00,Mizoram,Aizawl,Aizawl,796112,ExpressBees,Auto Spare Parts & Industrial Tools,22.61,3365.52,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,1.5,4.9
DEL-NER-2026-000362,2026-08-24 23:30:00,2026-08-26 02:30:00,Pending,Sikkim,South Sikkim,Namchi,737572,Shadowfax,E-Commerce Consumer Electronics,6.49,60481.89,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,11.6,N/A
DEL-NER-2026-000058,2026-08-24 23:30:00,2026-08-26 02:30:00,Pending,Tripura,Gomati,Udaipur,799740,Blue Dart / DHL,Auto Spare Parts & Industrial Tools,9.97,10892.83,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,3.1,N/A
DEL-NER-2026-000025,2026-08-24 23:30:00,2026-08-25 10:30:00,Pending,Assam,Jorhat,Jorhat,781135,Amazon Logistics (NER),Government / Official Documents,2.22,463.42,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,3.0,N/A
DEL-NER-2026-000187,2026-08-24 23:30:00,2026-08-26 09:30:00,Pending,Nagaland,Dimapur,Dimapur,797310,Amazon Logistics (NER),E-Commerce Consumer Electronics,4.63,9253.84,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,20.2,N/A
DEL-NER-2026-000079,2026-08-24 23:30:00,2026-08-25 17:30:00,Pending,Assam,Dibrugarh,Dibrugarh,781262,Blue Dart / DHL,Apparel & Fashion,2.37,1043.78,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,4.8,N/A
DEL-NER-2026-000132,2026-08-24 23:30:00,2026-08-26 08:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791647,DTDC Express,Auto Spare Parts & Industrial Tools,2.11,18100.97,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,7.4,N/A
DEL-NER-2026-000432,2026-08-24 23:30:00,2026-08-25 09:30:00,2026-08-25 09:30:00,Mizoram,Lunglei,Lunglei,796129,Blue Dart / DHL,Handicrafts & Organic NE Produce (Outbound),13.89,8507.21,Foot Courier (Hill Stairs / Remote Village),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,31.1,4.2
DEL-NER-2026-000292,2026-08-24 23:30:00,2026-08-25 09:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791514,Shadowfax,Government / Official Documents,1.69,1828.13,Light Commercial Pickup Truck (Bolero / Ace),Delayed - Weather / Heavy Rainfall,Pay on Delivery (UPI QR),N/A,Heavy Rain / Inundation,13.3,N/A
DEL-NER-2026-000359,2026-08-24 23:30:00,2026-08-25 21:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781695,Shadowfax,FMCG & Groceries,6.1,18748.36,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,27.7,N/A
DEL-NER-2026-000465,2026-08-24 23:30:00,2026-08-26 09:30:00,Pending,Manipur,Churachandpur,Churachandpur,795226,ExpressBees,Auto Spare Parts & Industrial Tools,18.61,11725.98,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,8.9,N/A
DEL-NER-2026-000476,2026-08-24 23:30:00,2026-08-25 17:30:00,Pending,Mizoram,Lunglei,Lunglei,796153,DTDC Express,Apparel & Fashion,2.42,1276.74,Two-Wheeler / Bike Express,Delayed - Landslide / Road Blockade,Prepaid (Digital/UPI),N/A,Landslide / Highway Blockade,27.2,N/A
DEL-NER-2026-000126,2026-08-24 23:30:00,2026-08-26 03:30:00,Pending,Manipur,Churachandpur,Churachandpur,795351,ExpressBees,Handicrafts & Organic NE Produce (Outbound),23.44,1926.23,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,28.4,N/A
DEL-NER-2026-000386,2026-08-24 22:30:00,2026-08-25 12:30:00,Pending,Tripura,West Tripura,Agartala,799349,India Post (Speed Post),E-Commerce Consumer Electronics,7.16,11561.29,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,2.5,N/A
DEL-NER-2026-000221,2026-08-24 22:30:00,2026-08-26 07:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791976,Shadowfax,Essential Medicines & Medical Supplies,1.32,13977.94,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Pay on Delivery (UPI QR),Pending,None,20.9,N/A
DEL-NER-2026-000215,2026-08-24 22:30:00,2026-08-26 09:30:00,Pending,Assam,Sonitpur,Tezpur,781166,ExpressBees,Apparel & Fashion,1.47,3942.22,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,30.7,N/A
DEL-NER-2026-000407,2026-08-24 22:30:00,2026-08-26 08:30:00,Pending,Tripura,West Tripura,Agartala,799735,Blue Dart / DHL,Handicrafts & Organic NE Produce (Outbound),16.65,16214.41,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,32.0,N/A
DEL-NER-2026-000070,2026-08-24 22:30:00,2026-08-25 19:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791654,Blue Dart / DHL,Essential Medicines & Medical Supplies,0.67,1284.01,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,6.4,N/A
DEL-NER-2026-000096,2026-08-24 22:30:00,2026-08-26 02:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791367,Flipkart Ekart,E-Commerce Consumer Electronics,0.51,28662.92,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,9.3,N/A
DEL-NER-2026-000346,2026-08-24 22:30:00,2026-08-25 07:30:00,Pending,Meghalaya,West Garo Hills,Tura,793536,Flipkart Ekart,Government / Official Documents,2.4,1081.4,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,25.0,N/A
DEL-NER-2026-000356,2026-08-24 22:30:00,2026-08-26 00:30:00,Pending,Assam,Jorhat,Jorhat,781885,Amazon Logistics (NER),E-Commerce Consumer Electronics,7.63,18528.33,Light Commercial Pickup Truck (Bolero / Ace),Delivery Attempted - Recipient Unavailable,Cash on Delivery (COD),N/A,None,8.0,N/A
DEL-NER-2026-000351,2026-08-24 22:30:00,2026-08-26 07:30:00,Pending,Tripura,Gomati,Udaipur,799121,ExpressBees,Handicrafts & Organic NE Produce (Outbound),17.57,19291.59,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,19.4,N/A
DEL-NER-2026-000275,2026-08-24 22:30:00,2026-08-25 11:30:00,Pending,Sikkim,South Sikkim,Namchi,737893,ExpressBees,FMCG & Groceries,11.06,11676.65,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,3.1,N/A
DEL-NER-2026-000197,2026-08-24 21:30:00,2026-08-25 20:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781370,ExpressBees,Handicrafts & Organic NE Produce (Outbound),20.83,20637.71,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,9.4,N/A
DEL-NER-2026-000453,2026-08-24 21:30:00,2026-08-26 06:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791127,Flipkart Ekart,Apparel & Fashion,0.92,890.97,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,27.2,N/A
DEL-NER-2026-000184,2026-08-24 21:30:00,2026-08-25 12:30:00,Pending,Meghalaya,West Garo Hills,Tura,793722,Amazon Logistics (NER),Apparel & Fashion,0.61,3555.6,Foot Courier (Hill Stairs / Remote Village),Delayed - Weather / Heavy Rainfall,Prepaid (Digital/UPI),N/A,Heavy Rain / Inundation,15.8,N/A
DEL-NER-2026-000179,2026-08-24 21:30:00,2026-08-25 15:30:00,Pending,Assam,Cachar,Silchar,781117,Delhivery,Handicrafts & Organic NE Produce (Outbound),18.03,15283.82,Two-Wheeler / Bike Express,Delayed - Weather / Heavy Rainfall,Prepaid (Digital/UPI),N/A,Heavy Rain / Inundation,21.4,N/A
DEL-NER-2026-000284,2026-08-24 21:30:00,2026-08-25 20:30:00,Pending,Nagaland,Dimapur,Dimapur,797504,Blue Dart / DHL,Government / Official Documents,0.64,2371.99,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,1.8,N/A
DEL-NER-2026-000004,2026-08-24 21:30:00,2026-08-25 16:30:00,Pending,Assam,Jorhat,Jorhat,781239,India Post (Speed Post),FMCG & Groceries,18.58,13298.48,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,14.9,N/A
DEL-NER-2026-000162,2026-08-24 21:30:00,2026-08-26 00:30:00,Pending,Mizoram,Aizawl,Aizawl,796566,Shadowfax,Essential Medicines & Medical Supplies,0.84,13270.35,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,8.9,N/A
DEL-NER-2026-000451,2026-08-24 21:30:00,2026-08-25 13:30:00,Pending,Tripura,Gomati,Udaipur,799851,DTDC Express,E-Commerce Consumer Electronics,3.87,34487.14,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,24.0,N/A
DEL-NER-2026-000051,2026-08-24 21:30:00,2026-08-26 06:30:00,Pending,Assam,Sonitpur,Tezpur,781423,Delhivery,Government / Official Documents,0.14,2132.41,Two-Wheeler / Bike Express,Delayed - Landslide / Road Blockade,Cash on Delivery (COD),N/A,Landslide / Highway Blockade,31.9,N/A
DEL-NER-2026-000309,2026-08-24 20:30:00,2026-08-25 17:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791376,Blue Dart / DHL,Auto Spare Parts & Industrial Tools,12.01,8752.93,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,11.6,N/A
DEL-NER-2026-000433,2026-08-24 20:30:00,2026-08-25 00:30:00,2026-08-25 00:30:00,Nagaland,Dimapur,Dimapur,797881,Flipkart Ekart,Auto Spare Parts & Industrial Tools,8.22,1589.9,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Cash on Delivery (COD),Verified,None,29.2,4.4
DEL-NER-2026-000176,2026-08-24 20:30:00,2026-08-24 23:30:00,2026-08-24 23:30:00,Arunachal Pradesh,East Siang,Pasighat,791904,Blue Dart / DHL,Essential Medicines & Medical Supplies,1.3,10907.65,Drone Delivery (Medicines/High Altitude),Delivered Successfully,Cash on Delivery (COD),Verified,None,13.4,4.0
DEL-NER-2026-000202,2026-08-24 20:30:00,2026-08-25 05:30:00,Pending,Tripura,Gomati,Udaipur,799588,India Post (Speed Post),Auto Spare Parts & Industrial Tools,9.01,3272.36,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,24.9,N/A
DEL-NER-2026-000183,2026-08-24 20:30:00,2026-08-25 00:30:00,2026-08-25 00:30:00,Arunachal Pradesh,East Siang,Pasighat,791456,Shadowfax,Apparel & Fashion,1.98,322.97,Foot Courier (Hill Stairs / Remote Village),Delivered Successfully,Cash on Delivery (COD),Verified,None,28.1,4.2
DEL-NER-2026-000186,2026-08-24 20:30:00,2026-08-25 22:30:00,Pending,Manipur,Imphal West,Imphal,795247,Blue Dart / DHL,Government / Official Documents,2.38,4450.96,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,7.1,N/A
DEL-NER-2026-000249,2026-08-24 20:30:00,2026-08-24 22:30:00,2026-08-24 22:30:00,Assam,Sonitpur,Tezpur,781384,Amazon Logistics (NER),E-Commerce Consumer Electronics,4.15,40722.03,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Pay on Delivery (UPI QR),Verified,None,17.8,3.9
DEL-NER-2026-000439,2026-08-24 20:30:00,2026-08-25 08:30:00,Pending,Sikkim,East Sikkim,Gangtok,737651,ExpressBees,Auto Spare Parts & Industrial Tools,2.38,2262.8,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,24.8,N/A
DEL-NER-2026-000142,2026-08-24 20:30:00,2026-08-25 04:30:00,Pending,Manipur,Churachandpur,Churachandpur,795152,Amazon Logistics (NER),Government / Official Documents,0.17,2717.37,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,14.5,N/A
DEL-NER-2026-000417,2026-08-24 20:30:00,2026-08-26 03:30:00,Pending,Assam,Sonitpur,Tezpur,781831,DTDC Express,FMCG & Groceries,18.84,4757.98,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,26.8,N/A
DEL-NER-2026-000117,2026-08-24 20:30:00,2026-08-25 01:30:00,2026-08-25 01:30:00,Manipur,Churachandpur,Churachandpur,795252,Flipkart Ekart,Apparel & Fashion,1.26,1312.88,Two-Wheeler / Bike Express,Delivered Successfully,Prepaid (Digital/UPI),Verified,None,31.1,5.0
DEL-NER-2026-000306,2026-08-24 19:30:00,2026-08-25 12:30:00,Pending,Tripura,Gomati,Udaipur,799966,Delhivery,E-Commerce Consumer Electronics,1.27,62857.5,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,4.7,N/A
DEL-NER-2026-000436,2026-08-24 19:30:00,2026-08-25 16:30:00,Pending,Assam,Cachar,Silchar,781104,Blue Dart / DHL,E-Commerce Consumer Electronics,4.59,38148.17,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,18.4,N/A
DEL-NER-2026-000285,2026-08-24 19:30:00,2026-08-24 23:30:00,2026-08-24 23:30:00,Assam,Sonitpur,Tezpur,781570,India Post (Speed Post),Essential Medicines & Medical Supplies,3.07,1868.5,Two-Wheeler / Bike Express,Delivered Successfully,Cash on Delivery (COD),Verified,None,21.5,4.5
DEL-NER-2026-000111,2026-08-24 19:30:00,2026-08-26 04:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791928,Blue Dart / DHL,Essential Medicines & Medical Supplies,2.37,13734.33,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,31.2,N/A
DEL-NER-2026-000002,2026-08-24 19:30:00,2026-08-26 05:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781301,ExpressBees,E-Commerce Consumer Electronics,7.64,5510.94,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,29.6,N/A
DEL-NER-2026-000296,2026-08-24 19:30:00,2026-08-25 07:30:00,Pending,Assam,Cachar,Silchar,781913,Flipkart Ekart,Government / Official Documents,0.21,1895.46,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,2.6,N/A
DEL-NER-2026-000160,2026-08-24 19:30:00,2026-08-25 03:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791108,Shadowfax,Government / Official Documents,0.54,3140.05,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,21.9,N/A
